Symbol,Latest_Date,Status
SHLM,0,No Data
SPAN,0,No Data
NMRX,0,No Data
NVDA,2024-10-10,Success
GOOGL,2024-10-10,Success
AAPL,2024-10-10,Success
MSFT,2024-10-10,Success
VSMPX,0,No Data
GOOG,2024-10-10,Success
AMZN,2024-10-10,Success
META,2024-10-10,Success
VOO,2024-10-10,Success
VFIAX,0,No Data
VITSX,0,No Data
BRK-A,2024-10-10,Success
AVGO,2024-10-10,Success
BRK-B,2024-10-10,Success
VTSAX,0,No Data
TSM,2024-10-10,Success
TSLA,2024-10-10,Success
LLY,2024-10-10,Success
JPM,2024-10-10,Success
FXAIX,0,No Data
VTI,2024-10-10,Success
UNH,2024-10-10,Success
V,2024-10-10,Success
WMT,2024-10-10,Success
XOM,2024-10-10,Success
SPY,2024-10-10,Success
NVO,2024-10-10,Success
IVV,2024-10-10,Success
VXUS,2024-10-10,Success
ORCL,2024-10-10,Success
MA,2024-10-10,Success
VTPSX,0,No Data
VTIAX,0,No Data
COST,2024-10-10,Success
VBTLX,0,No Data
HD,2024-10-10,Success
JNJ,2024-10-10,Success
VBMPX,0,No Data
PG,2024-10-10,Success
VBMFX,0,No Data
ABBV,2024-10-10,Success
VMCPX,0,No Data
BND,2024-10-10,Success
NFLX,2024-10-10,Success
ASML,2024-10-10,Success
MC.PA,2024-10-10,Success
BAC,2024-10-10,Success
VINIX,0,No Data
CHTEX.BR,0,No Data
VTBNX,0,No Data
ASML.AS,2024-10-10,Success
VIMAX,0,No Data
VIIIX,0,No Data
CRM,2024-10-10,Success
RGAGX,0,No Data
GAFFX,0,No Data
KO,2024-10-10,Success
AGTHX,0,No Data
GFAFX,0,No Data
AMD,2024-10-10,Success
MRK,2024-10-10,Success
CGFAX,0,No Data
SAP,2024-10-10,Success
BABA,2024-10-10,Success
CVX,2024-10-10,Success
RGABX,0,No Data
TMUS,2024-10-10,Success
MRK.PA,0,No Data
FIYY,0,No Data
RGAAX,0,No Data
GFACX,0,No Data
RLBGX,0,No Data
CLBAX,0,No Data
AZN,2024-10-10,Success
AFMBX,0,No Data
AMBFX,0,No Data
BALFX,0,No Data
ABALX,0,No Data
TM,2024-10-10,Success
RY.TO,2024-10-10,Success
PEP,2024-10-10,Success
TMO,2024-10-10,Success
NVS,2024-10-10,Success
ACN,2024-10-10,Success
CIS.BR,0,No Data
VERIZ.BR,0,No Data
ADBE,2024-10-10,Success
RMS.PA,2024-10-10,Success
LIN,2024-10-10,Success
VEMRX,0,No Data
FFEU,0,No Data
CSCO,2024-10-10,Success
MCD,2024-10-10,Success
SHEL,2024-10-10,Success
IBM,2024-10-10,Success
VEA,2024-10-10,Success
VB,2024-10-10,Success
OR.PA,2024-10-10,Success
VEMPX,0,No Data
VTMGX,0,No Data
MER-PK,2024-10-10,Success
VTMNX,0,No Data
ABT,2024-10-10,Success
GE,2024-10-10,Success
RY-PZ.TO,0,No Data
NOW,2024-10-10,Success
PDD,2024-10-10,Success
SHELL.AS,2024-10-10,Success
QQQ,2024-10-10,Success
WFC,2024-10-10,Success
DHR,2024-10-10,Success
AXP,2024-10-10,Success
CAT,2024-10-10,Success
PM,2024-10-10,Success
QCOM,2024-10-10,Success
VTV,2024-10-10,Success
INTU,2024-10-10,Success
MS,2024-10-10,Success
VZ,2024-10-10,Success
TXN,2024-10-10,Success
AMGN,2024-10-10,Success
ISRG,2024-10-10,Success
VO,2024-10-10,Success
RY,2024-10-10,Success
AMAT,2024-10-10,Success
PONPX,0,No Data
DIS,2024-10-10,Success
VZA,0,No Data
TD-PFK.TO,0,No Data
GNE.PA,0,No Data
PIMIX,0,No Data
UBER,2024-10-10,Success
NEE,2024-10-10,Success
PFE,2024-10-10,Success
VIGAX,0,No Data
VIGIX,0,No Data
HSBC,2024-10-10,Success
SPGI,2024-10-10,Success
GS,2024-10-10,Success
RTX,2024-10-10,Success
ARM,2024-10-10,Success
TBB,2024-10-10,Success
TBC,2024-10-10,Success
TTE,2024-10-10,Success
CMCSA,2024-10-10,Success
LOW,2024-10-10,Success
CATR.PA,0,No Data
AICCX,0,No Data
CICAX,0,No Data
AIVSX,0,No Data
UL,2024-10-10,Success
RICAX,0,No Data
FFICX,0,No Data
RICBX,0,No Data
BHP,2024-10-10,Success
T,2024-10-10,Success
HDB,2024-10-10,Success
TD-PFI.TO,2024-10-10,Success
AICFX,0,No Data
SHOP.TO,2024-10-10,Success
FCNTX,0,No Data
VGSLX,0,No Data
PGR,2024-10-10,Success
NPFFX,0,No Data
RNPGX,0,No Data
FNPFX,0,No Data
ANWPX,0,No Data
UNP,2024-10-10,Success
INCO.BR,0,No Data
CWMAX,0,No Data
WSHFX,0,No Data
RWMFX,0,No Data
AWSHX,0,No Data
BKNG,2024-10-10,Success
TTE.PA,2024-10-10,Success
WSHCX,0,No Data
TD.TO,2024-10-10,Success
LMT,2024-10-10,Success
RWMBX,0,No Data
UNA.AS,2024-10-10,Success
FUNFX,0,No Data
AFIFX,0,No Data
RFNCX,0,No Data
ANCFX,0,No Data
BLK,2024-10-10,Success
RERHX,0,No Data
CFNAX,0,No Data
AEPFX,0,No Data
RERGX,0,No Data
SNY,2024-10-10,Success
AEPGX,0,No Data
AEGFX,0,No Data
HON,2024-10-10,Success
SU.PA,2024-10-10,Success
SYK,2024-10-10,Success
ETN,2024-10-10,Success
COP,2024-10-10,Success
CWGFX,0,No Data
BOEI.BR,0,No Data
TD-PFL.TO,0,No Data
CWIAX,0,No Data
CWGIX,0,No Data
RIDGX,0,No Data
RWICX,0,No Data
IBMA.BR,0,No Data
ANET,2024-10-10,Success
FIFAX,0,No Data
IFAFX,0,No Data
BUD,2024-10-10,Success
BSX,2024-10-10,Success
AMECX,0,No Data
IEFA,2024-10-10,Success
VRTX,2024-10-10,Success
TJX,2024-10-10,Success
ENB.TO,2024-10-10,Success
JJEB,0,No Data
SAN.PA,2024-10-10,Success
NKE,2024-10-10,Success
ENB-PA.TO,2024-10-10,Success
ENB-PN.TO,2024-10-10,Success
PANW,2024-10-10,Success
C,2024-10-10,Success
ENB-PT.TO,2024-10-10,Success
MUFG,2024-10-10,Success
AGG,2024-10-10,Success
KKR,2024-10-10,Success
SCHW,2024-10-10,Success
MU,2024-10-10,Success
ABI.BR,2024-10-10,Success
ADP,2024-10-10,Success
SONY,2024-10-10,Success
DOXGX,0,No Data
ELV,2024-10-10,Success
ADI,2024-10-10,Success
VWELX,0,No Data
CB,2024-10-10,Success
UPS,2024-10-10,Success
RIO,2024-10-10,Success
VWENX,0,No Data
MDT,2024-10-10,Success
ANTM,0,No Data
JJTB,0,No Data
JJGB,0,No Data
BALB,0,No Data
COWB,0,No Data
CIBFX,0,No Data
RIRGX,0,No Data
CDI.PA,2024-10-10,Success
CAIBX,0,No Data
CIRAX,0,No Data
DE,2024-10-10,Success
BN.TO,2024-10-10,Success
PLD,2024-10-10,Success
MMC,2024-10-10,Success
REGN,2024-10-10,Success
VSMAX,0,No Data
CNQ.TO,2024-10-10,Success
VSCIX,0,No Data
FI,2024-10-10,Success
JJAB,0,No Data
BX,2024-10-10,Success
IWF,2024-10-10,Success
BJJN,0,No Data
SHOP,2024-10-10,Success
KLAC,2024-10-10,Success
EP-PC,2024-10-10,Success
SIA.BR,0,No Data
LRCX,2024-10-10,Success
GILD,2024-10-10,Success
SBUX,2024-10-10,Success
CP.TO,2024-10-10,Success
MELI,2024-10-10,Success
VTTHX,0,No Data
TD,2024-10-10,Success
BMY,2024-10-10,Success
TRI.TO,2024-10-10,Success
JJSB,0,No Data
IBN,2024-10-10,Success
JJPB,0,No Data
VIG,2024-10-10,Success
SGGB,0,No Data
AMT,2024-10-10,Success
VDADX,0,No Data
UBS,2024-10-10,Success
FSKAX,0,No Data
AIR.PA,2024-10-10,Success
JJMB,0,No Data
HCA,2024-10-10,Success
JJCB,0,No Data
CNR.TO,2024-10-10,Success
INTC,2024-10-10,Success
VTHRX,0,No Data
VTABX,0,No Data
VTIFX,0,No Data
BNDX,2024-10-10,Success
AI.PA,2024-10-10,Success
RY-PT,0,No Data
DTEL.BR,0,No Data
JLGMX,0,No Data
SEEGX,0,No Data
BJO,0,No Data
JLGRX,0,No Data
OLGAX,0,No Data
TBCIX,0,No Data
SOJC,2024-10-10,Success
CI,2024-10-10,Success
SOJE,2024-10-10,Success
PGMB,0,No Data
TRBCX,0,No Data
PRX.AS,2024-10-10,Success
SO,2024-10-10,Success
SOJD,2024-10-10,Success
DODGX,0,No Data
EL.PA,2024-10-10,Success
MDLZ,2024-10-10,Success
INFY,2024-10-10,Success
PABGX,0,No Data
VFORX,0,No Data
PLTR,2024-10-10,Success
SHW,2024-10-10,Success
VUG,2024-10-10,Success
CFAAX,0,No Data
ICE,2024-10-10,Success
CSU.TO,2024-10-10,Success
BFAFX,0,No Data
DGE.PA,0,No Data
SCCO,2024-10-10,Success
BMO.TO,2024-10-10,Success
VGT,2024-10-10,Success
VITAX,0,No Data
DELL,2024-10-10,Success
IJH,2024-10-10,Success
PBR-A,2024-10-10,Success
PBR,2024-10-10,Success
VTIVX,0,No Data
BA,2024-10-10,Success
RAFFX,0,No Data
ENB,2024-10-10,Success
AMCPX,0,No Data
TT,2024-10-10,Success
DODIX,0,No Data
FISV,2024-10-10,Success
BNS.TO,2024-10-10,Success
RRBGX,0,No Data
DUK,2024-10-10,Success
DUKB,2024-10-10,Success
ZTS,2024-10-10,Success
RELX,2024-10-10,Success
AMPFX,0,No Data
ABNB,2024-10-10,Success
PRUFX,0,No Data
VEMAX,0,No Data
MCO,2024-10-10,Success
WM,2024-10-10,Success
BP,2024-10-10,Success
SAF.PA,2024-10-10,Success
NGT.TO,2024-10-10,Success
MO,2024-10-10,Success
PRGFX,0,No Data
CVS,2024-10-10,Success
SMFG,2024-10-10,Success
VIEIX,0,No Data
VEXAX,0,No Data
CTAS,2024-10-10,Success
EQIX,2024-10-10,Success
CEG,2024-10-10,Success
SNPS,2024-10-10,Success
FNCFX,0,No Data
FKINX,0,No Data
RACE,2024-10-10,Success
TRSAX,0,No Data
PH,2024-10-10,Success
FRIAX,0,No Data
PYPL,2024-10-10,Success
GD,2024-10-10,Success
CMG,2024-10-10,Success
BN,2024-10-10,Success
GSK,2024-10-10,Success
CL,2024-10-10,Success
CME,2024-10-10,Success
CNQ,2024-10-10,Success
REN.AS,2024-10-10,Success
APO,2024-10-10,Success
VTTVX,0,No Data
APH,2024-10-10,Success
VPMAX,0,No Data
VPMCX,0,No Data
CRWD,2024-10-10,Success
BTI,2024-10-10,Success
VFIFX,0,No Data
CDNS,2024-10-10,Success
MSI,2024-10-10,Success
NOC,2024-10-10,Success
EFA,2024-10-10,Success
RRGSX,0,No Data
AON,2024-10-10,Success
TDG,2024-10-10,Success
RSLAX,0,No Data
RLLGX,0,No Data
CM.TO,2024-10-10,Success
CSPAX,0,No Data
SMCWX,0,No Data
VWIUX,0,No Data
SCWFX,0,No Data
ITW,2024-10-10,Success
DODFX,0,No Data
VWITX,0,No Data
CP,2024-10-10,Success
SAN,2024-10-10,Success
WELL,2024-10-10,Success
CS.PA,2024-10-10,Success
IWDA.AS,2024-10-10,Success
EOG,2024-10-10,Success
SPOT,2024-10-10,Success
MFC.TO,2024-10-10,Success
DEO,2024-10-10,Success
TRI,2024-10-10,Success
VYM,2024-10-10,Success
VVIAX,0,No Data
MAR,2024-10-10,Success
MMM,2024-10-10,Success
GEV,2024-10-10,Success
ATVI,0,No Data
CARR,2024-10-10,Success
ECL,2024-10-10,Success
VHYAX,0,No Data
PNC,2024-10-10,Success
CNI,2024-10-10,Success
TGT,2024-10-10,Success
AMRFX,0,No Data
RMFGX,0,No Data
AMFFX,0,No Data
FCX,2024-10-10,Success
ATD.TO,2024-10-10,Success
SU.TO,2024-10-10,Success
SWPPX,0,No Data
USB,2024-10-10,Success
AMPCX,0,No Data
BNP.PA,2024-10-10,Success
APD,2024-10-10,Success
EQNR,2024-10-10,Success
BDX,2024-10-10,Success
ORLY,2024-10-10,Success
FIWGX,0,No Data
VWO,2024-10-10,Success
FBGRX,0,No Data
VMCIX,0,No Data
IWM,2024-10-10,Success
CSX,2024-10-10,Success
ABB,0,No Data
IEMG,2024-10-10,Success
WDAY,2024-10-10,Success
BMO,2024-10-10,Success
FDGRX,0,No Data
MCK,2024-10-10,Success
NFFFX,0,No Data
NEWFX,0,No Data
NWFFX,0,No Data
CNWAX,0,No Data
AMOV,0,No Data
BDXA,0,No Data
FDX,2024-10-10,Success
NU,2024-10-10,Success
RSP,2024-10-10,Success
IJR,2024-10-10,Success
TRP.TO,2024-10-10,Success
RSG,2024-10-10,Success
NGG,2024-10-10,Success
WCN.TO,2024-10-10,Success
BNS,2024-10-10,Success
GLD,2024-10-10,Success
EMR,2024-10-10,Success
FTNT,2024-10-10,Success
EPD,2024-10-10,Success
SLB,2024-10-10,Success
MRVL,2024-10-10,Success
VWNFX,0,No Data
VWNAX,0,No Data
AJG,2024-10-10,Success
XLK,2024-10-10,Success
AFL,2024-10-10,Success
PXD,0,No Data
SCHD,2024-10-10,Success
CRH,2024-10-10,Success
DG.PA,2024-10-10,Success
ITUB,2024-10-10,Success
MEIKX,0,No Data
MEIIX,0,No Data
NEM,2024-10-10,Success
MEIAX,0,No Data
WMB,2024-10-10,Success
VMW,0,No Data
NXPI,2024-10-10,Success
DHI,2024-10-10,Success
FXNAX,0,No Data
ADSK,2024-10-10,Success
PSA,2024-10-10,Success
DASH,2024-10-10,Success
VEIRX,0,No Data
BSV,2024-10-10,Success
VBIRX,0,No Data
VEIPX,0,No Data
JD,2024-10-10,Success
MET,2024-10-10,Success
TLT,2024-10-10,Success
HLT,2024-10-10,Success
VWAP.BR,0,No Data
VWA.BR,0,No Data
VBAIX,0,No Data
VBINX,0,No Data
VBIAX,0,No Data
IMO.TO,2024-10-10,Success
ROP,2024-10-10,Success
BBVA,2024-10-10,Success
COF,2024-10-10,Success
IWD,2024-10-10,Success
SANTA.BR,0,No Data
FEGRX,0,No Data
FESGX,0,No Data
FANG,2024-10-10,Success
PSX,2024-10-10,Success
TTD,2024-10-10,Success
SLB.PA,0,No Data
SGENX,0,No Data
TFC,2024-10-10,Success
ET,2024-10-10,Success
ING,2024-10-10,Success
CM,2024-10-10,Success
CCZ,2024-10-10,Success
NSC,2024-10-10,Success
VTTWX,0,No Data
FSPSX,0,No Data
MPC,2024-10-10,Success
OKE,2024-10-10,Success
VFSUX,0,No Data
VDIGX,0,No Data
NTES,2024-10-10,Success
VFSTX,0,No Data
SPG,2024-10-10,Success
SE,2024-10-10,Success
BK,2024-10-10,Success
AEM.TO,2024-10-10,Success
VTIP,2024-10-10,Success
PCAR,2024-10-10,Success
VTAPX,0,No Data
VT,2024-10-10,Success
L-PB.TO,2024-10-09,Success
VTWAX,0,No Data
VTWIX,0,No Data
CPRT,2024-10-10,Success
L.TO,2024-10-10,Success
GM,2024-10-10,Success
MFC,2024-10-10,Success
O,2024-10-10,Success
VCIT,2024-10-10,Success
VICSX,0,No Data
IVW,2024-10-10,Success
VUSA.AS,2024-10-10,Success
URI,2024-10-10,Success
TRV,2024-10-10,Success
AEH,0,No Data
MFG,2024-10-10,Success
AZO,2024-10-10,Success
KMI,2024-10-10,Success
AED,0,No Data
DLR,2024-10-10,Success
VFFVX,0,No Data
CEO,0,No Data
VWIAX,0,No Data
SRE,2024-10-10,Success
SU,2024-10-10,Success
AEP,2024-10-10,Success
AEB,0,No Data
INGA.AS,2024-10-10,Success
HMC,2024-10-10,Success
JCI,2024-10-10,Success
MEURV.BR,0,No Data
SREA,2024-10-10,Success
FAETX,0,No Data
RFETX,0,No Data
PTTRX,0,No Data
PAYX,2024-10-10,Success
AMX,2024-10-10,Success
GWW,2024-10-10,Success
QUAL,2024-10-10,Success
MNST,2024-10-10,Success
E,2024-10-10,Success
GSINX,0,No Data
RCL,2024-10-10,Success
EDF.PA,0,No Data
GSIYX,0,No Data
KDP,2024-10-10,Success
OXY,2024-10-10,Success
AIG,2024-10-10,Success
AAFTX,0,No Data
RFFTX,0,No Data
BAGIX,0,No Data
FAQTX,0,No Data
BAGSX,0,No Data
STLA.PA,0,No Data
JCBZX,0,No Data
JCBUX,0,No Data
FICO,2024-10-10,Success
ALL,2024-10-10,Success
VGHAX,0,No Data
WOBDX,0,No Data
APP,2024-10-10,Success
VGHCX,0,No Data
IAU,2024-10-10,Success
FBALX,0,No Data
ABX.TO,2024-10-10,Success
AMP,2024-10-10,Success
TIEIX,0,No Data
TEAM,2024-10-10,Success
CCI,2024-10-10,Success
ALC,2024-10-10,Success
VIRSX,0,No Data
LEN,2024-10-10,Success
MSCI,2024-10-10,Success
KMB,2024-10-10,Success
VALE,2024-10-10,Success
FIS,2024-10-10,Success
LYG,2024-10-10,Success
CHTR,2024-10-10,Success
SPLG,2024-10-10,Success
SCHX,2024-10-10,Success
OIEIX,0,No Data
ROST,2024-10-10,Success
TRP,2024-10-10,Success
MFEKX,0,No Data
MFEIX,0,No Data
D,2024-10-10,Success
MFEJX,0,No Data
MFEGX,0,No Data
OIEJX,0,No Data
WCN,2024-10-10,Success
VWILX,0,No Data
VWIGX,0,No Data
HLIEX,0,No Data
HLN,2024-10-10,Success
BBV.BR,0,No Data
IFC.TO,2024-10-10,Success
VWUSX,0,No Data
CPNG,2024-10-10,Success
LHX,2024-10-10,Success
VWUAX,0,No Data
TD-PFJ.TO,2024-10-10,Success
MFC-PC.TO,2024-10-10,Success
CMI,2024-10-10,Success
VLO,2024-10-10,Success
CVE.TO,2024-10-10,Success
SLF.TO,2024-10-10,Success
TAK,2024-10-10,Success
PWR,2024-10-10,Success
AAGTX,0,No Data
MPWR,2024-10-10,Success
ENI.BR,0,No Data
RCKTX,0,No Data
FAUTX,0,No Data
REGTX,0,No Data
RFGTX,0,No Data
OAKIX,0,No Data
MPLX,2024-10-10,Success
DSY.PA,2024-10-10,Success
TEL,2024-10-10,Success
BCS,2024-10-10,Success
WFSPX,0,No Data
BSPAX,0,No Data
BSPIX,0,No Data
XVALO.MC,2024-10-10,Success
DDOG,2024-10-10,Success
FFH.TO,2024-10-10,Success
PEG,2024-10-10,Success
CCIV,0,No Data
PRS,2024-10-10,Success
FUSIX,0,No Data
COR,2024-10-10,Success
STZ,2024-10-10,Success
PRU,2024-10-10,Success
PRH,2024-10-10,Success
HEIA.AS,2024-10-10,Success
NA.TO,2024-10-10,Success
LNG,2024-10-10,Success
SQ,2024-10-10,Success
PFH,2024-10-10,Success
GWO.TO,2024-10-10,Success
MS-PQ,2024-10-10,Success
MWTSX,0,No Data
SGEN,0,No Data
UMG.AS,2024-10-10,Success
ACGL,2024-10-10,Success
MWTIX,0,No Data
HES,2024-10-10,Success
MWTRX,0,No Data
GWO-PN.TO,2024-10-10,Success
LOLDX,0,No Data
FLUT,2024-10-10,Success
GWO-PM.TO,2024-10-10,Success
LLDYX,0,No Data
ADYEN.AS,2024-10-10,Success
VST,2024-10-10,Success
LDLVX,0,No Data
SCHF,2024-10-10,Success
VCSH,2024-10-10,Success
KHC,2024-10-10,Success
VSCSX,0,No Data
IMO,2024-10-10,Success
TD-PFA.TO,2024-10-10,Success
BIV,2024-10-10,Success
ENB-PFA.TO,2024-10-10,Success
VBILX,0,No Data
IQV,2024-10-10,Success
ODFL,2024-10-10,Success
PCG,2024-10-10,Success
FSMAX,0,No Data
F,2024-10-10,Success
HWM,2024-10-10,Success
ENBA,0,No Data
SNOW,2024-10-10,Success
STM.PA,0,No Data
BN.PA,2024-10-10,Success
MCHP,2024-10-10,Success
OTIS,2024-10-10,Success
GEHC,2024-10-10,Success
NDAQ,2024-10-10,Success
EW,2024-10-10,Success
TCOM,2024-10-10,Success
BCE.TO,2024-10-10,Success
SGO.PA,2024-10-10,Success
COIN,2024-10-10,Success
KVUE,2024-10-10,Success
A,2024-10-10,Success
FTBFX,0,No Data
XLV,2024-10-10,Success
MDIZX,0,No Data
MDIJX,0,No Data
TWTR,0,No Data
VRT,2024-10-10,Success
VSIAX,0,No Data
XLF,2024-10-10,Success
MDIDX,0,No Data
ITOT,2024-10-10,Success
IT,2024-10-10,Success
FERG,2024-10-10,Success
FAST,2024-10-10,Success
CVNA,2024-10-10,Success
IR,2024-10-10,Success
IXUS,2024-10-10,Success
KR,2024-10-10,Success
IWB,2024-10-10,Success
GIS,2024-10-10,Success
ACA.PA,2024-10-10,Success
AEM,2024-10-10,Success
DOL.TO,2024-10-10,Success
KIM-PN,2024-10-10,Success
TRAIX,0,No Data
GLW,2024-10-10,Success
MUB,2024-10-10,Success
PRWCX,0,No Data
EXC,2024-10-10,Success
CTVA,2024-10-10,Success
IDXX,2024-10-10,Success
AME,2024-10-10,Success
ODVIX,0,No Data
NWG,2024-10-10,Success
STLA,2024-10-10,Success
PACLX,0,No Data
XLE,2024-10-10,Success
ENB-PFK.TO,2024-10-10,Success
BSBR,2024-10-10,Success
VRSK,2024-10-10,Success
LVS,2024-10-10,Success
VSIGX,0,No Data
WPM.TO,2024-10-10,Success
RBHTX,0,No Data
VGIT,2024-10-10,Success
FATTX,0,No Data
CNC,2024-10-10,Success
ENGI.PA,2024-10-10,Success
VTWNX,0,No Data
HSY,2024-10-10,Success
EA,2024-10-10,Success
DOW,2024-10-10,Success
VTEAX,0,No Data
VEUSX,0,No Data
VTEB,2024-10-10,Success
CTSH,2024-10-10,Success
BBCPX,0,No Data
YUM,2024-10-10,Success
BKR,2024-10-10,Success
BIDU,2024-10-10,Success
CBRE,2024-10-10,Success
ABEV,2024-10-10,Success
TRLGX,0,No Data
FSMDX,0,No Data
VTINX,0,No Data
ANFFX,0,No Data
SYY,2024-10-10,Success
JEPI,2024-10-10,Success
RNNEX,0,No Data
DD,2024-10-10,Success
EXR,2024-10-10,Success
NUE,2024-10-10,Success
ANEFX,0,No Data
ABC,0,No Data
ALNY,2024-10-10,Success
CCEP,2024-10-10,Success
TECK-A.TO,2024-10-10,Success
DFS,2024-10-10,Success
DFEOX,0,No Data
TRGP,2024-10-10,Success
VFIDX,0,No Data
BCOSX,0,No Data
BCOIX,0,No Data
VFICX,0,No Data
CRG.IR,0,No Data
IVE,2024-10-10,Success
STLAP.PA,2024-10-10,Success
GOLD,2024-10-10,Success
ED,2024-10-10,Success
HPQ,2024-10-10,Success
RMD,2024-10-10,Success
TECK-B.TO,2024-10-10,Success
IRM,2024-10-10,Success
EFX,2024-10-10,Success
PAMCX,0,No Data
VNQ,2024-10-10,Success
EEM,2024-10-10,Success
XEL,2024-10-10,Success
WKL.AS,2024-10-10,Success
GIB-A.TO,2024-10-10,Success
DIA,2024-10-10,Success
FAPTX,0,No Data
CCDTX,0,No Data
DFQTX,0,No Data
DB,2024-10-10,Success
MBB,2024-10-10,Success
FAITX,0,No Data
QQQM,2024-10-10,Success
RFITX,0,No Data
RBHEX,0,No Data
AALTX,0,No Data
VEEV,2024-10-10,Success
VTRLX,0,No Data
EL,2024-10-10,Success
PPL-PA.TO,2024-10-10,Success
HIG,2024-10-10,Success
PPL-PQ.TO,2024-10-10,Success
FFFEX,0,No Data
PPL.TO,2024-10-10,Success
PRUIX,0,No Data
VICI,2024-10-10,Success
MSTR,2024-10-10,Success
BIL,2024-10-10,Success
PREIX,0,No Data
PPL-PC.TO,2024-10-10,Success
IEF,2024-10-10,Success
WDS,2024-10-10,Success
NTR.TO,2024-10-10,Success
IUSB,2024-10-10,Success
CVE,2024-10-10,Success
SCHG,2024-10-10,Success
SLF,2024-10-10,Success
T.TO,2024-10-10,Success
GBTC,2024-10-10,Success
WIT,2024-10-10,Success
CCEP.AS,2024-10-10,Success
DFIEX,0,No Data
MLM,2024-10-10,Success
RRMGX,0,No Data
PEQSX,0,No Data
XYL,2024-10-10,Success
FNV.TO,2024-10-10,Success
DAL,2024-10-10,Success
AXON,2024-10-10,Success
LQD,2024-10-10,Success
EBAY,2024-10-10,Success
LULU,2024-10-10,Success
WAB,2024-10-10,Success
PEYAX,0,No Data
VMC,2024-10-10,Success
TSCO,2024-10-10,Success
JUSRX,0,No Data
GRMN,2024-10-10,Success
FPURX,0,No Data
EIX,2024-10-10,Success
UCB.BR,2024-10-10,Success
JUEAX,0,No Data
FLTR.IR,0,No Data
JUEMX,0,No Data
NET,2024-10-10,Success
JUEZX,0,No Data
RI.PA,2024-10-10,Success
JUESX,0,No Data
ARGX,2024-10-10,Success
TW,2024-10-10,Success
VITPX,0,No Data
DFAC,2024-10-10,Success
SCHB,2024-10-10,Success
MDY,2024-10-10,Success
VOE,2024-10-10,Success
TRVLX,0,No Data
VITNX,0,No Data
CAP.PA,2024-10-10,Success
PAVLX,0,No Data
VXF,2024-10-10,Success
ARES,2024-10-10,Success
VMVAX,0,No Data
FOCKX,0,No Data
FOCPX,0,No Data
DBLTX,0,No Data
HEI,2024-10-10,Success
DLTNX,0,No Data
TRFHX,0,No Data
AVB,2024-10-10,Success
DSFIR.AS,2024-10-10,Success
LYB,2024-10-10,Success
MTD,2024-10-10,Success
WSP.TO,2024-10-10,Success
PRILX,0,No Data
PRBLX,0,No Data
TRRCX,0,No Data
OWL,2024-10-10,Success
CSGP,2024-10-10,Success
QSR.TO,2024-10-10,Success
IWR,2024-10-10,Success
DGRO,2024-10-10,Success
ROK,2024-10-10,Success
VONG,2024-10-10,Success
GEN.BR,0,No Data
HUM,2024-10-10,Success
VMLUX,0,No Data
CCO.TO,2024-10-10,Success
VMLTX,0,No Data
IIVI,0,No Data
ON,2024-10-10,Success
FSNVX,0,No Data
FFFFX,0,No Data
MTB-PJ,2024-10-10,Success
HO.PA,2024-10-10,Success
ZS,2024-10-10,Success
MTB,2024-10-10,Success
BCE,2024-10-10,Success
PHG,2024-10-10,Success
CDW,2024-10-10,Success
VSGAX,0,No Data
PPG,2024-10-10,Success
VTTSX,0,No Data
WEC,2024-10-10,Success
WTW,2024-10-10,Success
BRO,2024-10-10,Success
DFCEX,0,No Data
ORAN,2024-10-10,Success
KER.PA,2024-10-10,Success
FFTHX,0,No Data
FTS.TO,2024-10-10,Success
EON.BR,0,No Data
FER,2024-10-10,Success
NVR,2024-10-10,Success
CHT,2024-10-10,Success
SPYG,2024-10-10,Success
HCAIX,0,No Data
WN.TO,2024-10-10,Success
FITB,2024-10-10,Success
HRCAX,0,No Data
HNACX,0,No Data
HACAX,0,No Data
FRDAX,0,No Data
ANSS,2024-10-10,Success
PHM,2024-10-10,Success
FRDPX,0,No Data
ARGX.BR,2024-10-10,Success
VEU,2024-10-10,Success
VWRL.AS,2024-10-10,Success
HUBS,2024-10-10,Success
VV,2024-10-10,Success
RCI-B.TO,2024-10-10,Success
AD.AS,2024-10-10,Success
FCNCA,2024-10-10,Success
RCI-A.TO,2024-10-10,Success
ASM.AS,2024-10-10,Success
IOT,2024-10-10,Success
BNTX,2024-10-10,Success
FSPGX,0,No Data
PTRQX,0,No Data
DXCM,2024-10-10,Success
PDBZX,0,No Data
PEMGX,0,No Data
POW.TO,2024-10-10,Success
BBD,2024-10-10,Success
K,2024-10-10,Success
ELC,2024-10-10,Success
GOVT,2024-10-10,Success
VFWAX,0,No Data
WPM,2024-10-10,Success
VLTO,2024-10-10,Success
NETE,0,No Data
