date,Portfolio Value,Portfolio Returns
2024-03-21,1002749.7962150249,0.002749796215024973
2024-03-22,1002221.5059095332,-0.0005268415984582647
2024-03-25,1003020.4804010709,0.0007972034992532697
2024-03-26,1002554.6259180207,-0.00046445161604684966
2024-03-27,1002678.9490958201,0.00012400638786691786
2024-03-28,1000114.864846019,-0.0025572335512910314
2024-04-01,996689.3645793436,-0.003425106842305402
2024-04-02,993255.460930737,-0.003445309813309601
2024-04-03,995324.4014173517,0.0020829892892568207
2024-04-04,994199.9089680661,-0.0011297748228460175
2024-04-05,994527.7907346479,0.00032979460531443427
2024-04-08,993211.8229537845,-0.0013232086555281157
2024-04-09,995192.0921124404,0.001993803449466263
2024-04-10,988849.1317632383,-0.0063736040503881205
2024-04-11,986337.1813510899,-0.002540276702947956
2024-04-12,980568.0721066913,-0.0058490233902528145
2024-04-15,975801.0935647155,-0.00486144580634183
2024-04-16,971998.6021965386,-0.0038967894105200237
2024-04-17,971768.8964633412,-0.00023632311062827136
2024-04-18,972482.7303024143,0.0007345716061410182
2024-04-19,972499.2076238655,1.69435620167256e-05
2024-04-22,973400.2721541342,0.0009265452590653846
2024-04-23,979479.4463700037,0.006245297427764377
2024-04-24,977067.5420347075,-0.0024624348619410354
2024-04-25,978242.7341177176,0.001202774662397297
2024-04-26,979779.912300025,0.0015713668281868765
2024-04-29,983589.6001754772,0.0038883098414510733
2024-04-30,971023.4477383373,-0.012775808563752572
2024-05-01,972513.1644823276,0.0015341717519386311
2024-05-02,974094.0944469451,0.0016256129195527569
2024-05-03,979561.436461321,0.005612745263053791
2024-05-06,984033.2135742266,0.004565080807039432
2024-05-07,986393.3773399217,0.002398459455573052
2024-05-08,983976.1397504705,-0.00245058173035373
2024-05-09,988451.4169311551,0.004548156200027007
2024-05-10,991265.3924827492,0.002846852666093252
2024-05-13,991395.5776221477,0.00013133227527746525
2024-05-14,992162.3077346596,0.000773384640620335
2024-05-15,998614.303161506,0.006502963654785238
2024-05-16,997384.3284529173,-0.001231681445674062
2024-05-17,999935.5124693782,0.0025578745762110354
2024-05-18,999934.825937437,-6.865762167966969e-07
2024-05-20,1000995.9677589299,0.0010612109849241049
2024-05-21,999952.1789878706,-0.0010427502254541916
2024-05-22,996434.8007777473,-0.0035175464227535213
2024-05-23,989042.3730984677,-0.007418877455413567
2024-05-24,992133.2968689364,0.0031251681975824155
2024-05-27,992912.3815519919,0.0007852621069309297
2024-05-28,984192.7106302421,-0.008781913775836165
2024-05-29,976774.3498076571,-0.007537508398974625
2024-05-30,979939.6955799344,0.0032406110714319073
2024-05-31,984658.0864974089,0.0048149809001074104
2024-06-03,985506.6147635398,0.000861749147005079
2024-06-04,984773.7356665106,-0.0007436572074200724
2024-06-05,987882.8518660351,0.003157188384416336
2024-06-06,992741.0783436971,0.004917816387322724
2024-06-07,988303.1821360721,-0.004470346099739639
2024-06-10,988472.116907198,0.00017093415682496932
2024-06-11,984944.18794818,-0.0035690728131577087
2024-06-12,986300.5427743131,0.0013770880043045889
2024-06-13,984559.4727541312,-0.0017652530285389536
2024-06-14,982158.6582395982,-0.002438465710778423
2024-06-17,986130.6658110407,0.004044160826889051
2024-06-18,987805.4652010777,0.0016983544352711277
2024-06-19,986842.3026575879,-0.0009750528595159098
2024-06-20,986217.2846007725,-0.0006333515042192426
2024-06-21,984929.3039239151,-0.0013059806362843106
2024-06-24,992963.6482603184,0.00815728022751993
2024-06-25,994293.8195924868,0.0013395972093226641
2024-06-26,987811.1007365568,-0.006519922711163055
2024-06-27,991822.5327749698,0.004060930308863594
2024-06-28,991006.1820860781,-0.0008230814101466098
2024-07-01,990067.477391573,-0.0009472238533660447
2024-07-02,992227.1836373169,0.0021813727802007248
2024-07-03,996638.6892547867,0.00444606405692115
2024-07-04,997657.2620297214,0.0010220080616138987
2024-07-05,1000069.3012616517,0.002417703277198679
2024-07-08,1000134.8256799254,6.551987766352998e-05
2024-07-09,1000119.3884930606,-1.5435105816148653e-05
2024-07-10,1002751.1117643865,0.0026314091113575602
2024-07-11,1008369.6495302108,0.005603122948363653
2024-07-12,1011558.2164559254,0.0031621012465024825
2024-07-15,1009403.8230368496,-0.002129776995558317
2024-07-16,1014491.9608567002,0.005040735633973241
2024-07-17,1012588.5563177066,-0.0018762145117308306
2024-07-18,1008068.2520855513,-0.0044641075626939706
2024-07-19,1005055.4964124386,-0.0029886425516127625
2024-07-22,1009511.6508084898,0.004433739641201444
2024-07-23,1003463.0616033764,-0.00599159920568456
2024-07-24,998819.5520187119,-0.00462748432139086
2024-07-25,997339.5408902002,-0.001481760269430636
2024-07-26,1002654.9422301365,0.005329580470851609
2024-07-29,999716.9982750003,-0.00293016453756427
2024-07-30,1002112.8832866066,0.002396563243138283
2024-07-31,1006318.4799406468,0.004196729454517388
2024-08-01,1006283.633021948,-3.462812160711192e-05
2024-08-02,1000372.2629741132,-0.005874457115120123
2024-08-05,989049.8954136813,-0.011318154230676525
2024-08-06,989052.5544965565,2.6885224776080382e-06
2024-08-07,989973.3066290275,0.0009309435866526473
2024-08-08,998793.558733069,0.008909585788808193
2024-08-09,1000383.1739663738,0.0015915353272013988
2024-08-12,997777.1464127112,-0.002605029374224665
2024-08-13,1001732.8588017786,0.003964524947569006
2024-08-14,1008589.4422729355,0.006844722533469218
2024-08-15,1010708.0769000687,0.002100591715850652
2024-08-16,1014075.1586989601,0.0033314088170923024
2024-08-19,1019072.2617225858,0.0049277442414001685
2024-08-20,1017915.5599936763,-0.0011350536879047135
2024-08-21,1021904.5718645316,0.003918804297362682
2024-08-22,1017952.6037102524,-0.00386725753371347
2024-08-23,1022556.9046909497,0.004523099566635328
2024-08-26,1022384.1663064477,-0.00016892789409538996
2024-08-27,1024168.5400245438,0.0017453064874257988
2024-08-28,1022233.5059384006,-0.0018893707534666446
2024-08-29,1026334.4302132393,0.004011729463978071
2024-08-30,1025145.032007194,-0.0011588797676778324
2024-09-02,1024747.5119689758,-0.00038776956021527905
2024-09-03,1017393.6490734137,-0.007176268114505797
2024-09-04,1018368.5766759411,0.0009582599649755625
2024-09-05,1017605.8684711016,-0.0007489510402305807
2024-09-06,1010649.4218558781,-0.006836091291095928
2024-09-09,1015893.5348773508,0.005188854718625117
2024-09-10,1015074.2412824351,-0.0008064758429774188
2024-09-11,1015893.5738453203,0.0008071651605009566
2024-09-12,1021320.211323095,0.005341738167743513
2024-09-13,1026889.4914599516,0.00545302058562174
2024-09-16,1032710.8787366956,0.005668952039296614
2024-09-17,1032773.9820160758,6.110449756975973e-05
2024-09-18,1034989.7385059375,0.002145441818292395
2024-09-19,1038595.4550602456,0.003483818650717643
2024-09-20,1036959.4819541894,-0.0015751783796910223
2024-09-23,1038748.1297380716,0.0017248965027171273
2024-09-24,1045348.2396189682,0.00635390783573371
2024-09-25,1044198.3961957524,-0.0010999620792732474
2024-09-26,1049287.1888639634,0.004873396364858156
2024-09-27,1053276.345476895,0.003801777678473955
2024-09-30,1044597.4236632038,-0.008239928534388223
2024-10-01,1044995.6772113753,0.00038125074708205754
2024-10-02,1043792.4925585691,-0.0011513776363334866
2024-10-03,1041583.7545132866,-0.002116070062803804
2024-10-04,1045354.8025806117,0.0036204943202930483
2024-10-07,1043449.0952375963,-0.0018230244298976478
2024-10-08,1038912.4926626971,-0.004347698987525821
2024-10-09,1038573.7109041658,-0.00032609267953191137
2024-10-10,1040557.0072595816,0.0019096346601043105
2024-10-11,1038525.4956644602,-0.0019523308967679398
2024-10-14,1043098.7606984265,0.0044036136359273375
2024-10-15,1037547.3440835226,-0.0053220431507242875
2024-10-16,1037818.5473313859,0.0002613887929160443
2024-10-17,1036816.5866305655,-0.0009654488286000939
2024-10-18,1043925.5252441074,0.006856505485357383
